timestamp,query,latency_ms,cache_hit,num_results
1759981651.427765,How do I calculate compound interest?,143.47,True,5
1759981651.67405,What is the difference between a Roth IRA and Trad,134.58,False,5
1759981651.842255,How can I improve my credit score?,59.63,True,5
1759981652.050984,What are the best investment strategies for beginn,98.15,True,5
1759981652.276457,How do I file taxes for freelance income?,112.77,True,5
1759981652.508704,What is diversification in investment?,122.13,True,5
1759981652.760073,Should I pay off debt or invest?,144.46,False,5
1759981653.0106921,How do index funds work?,138.97,False,5
1759981653.183601,What is the best way to save for retirement?,59.39,False,5
1759981653.379492,How do I create a budget?,81.39,False,5
1759983659.088526,How do I calculate compound interest?,100.30,True,3
1759983753.3090649,How to invest in stocks?,116.15,False,5
1759983815.778213,How to invest in stocks?,138.73,True,5
1759983822.266516,Test query 1,71.09,False,3
1759983822.378934,Test query 2,99.19,False,3
1759983822.463733,Test query 3,73.06,True,3
1759983822.625665,Test query 4,150.20,False,3
1759983822.7531688,Test query 5,114.36,False,3
1759983850.9389381,How to invest in stocks?,130.16,True,5
1759983863.839221,How to invest in stocks?,137.31,False,5
1759984282.383007,rate limit test,77.00,False,3
1759984282.459579,rate limit test,64.31,True,3
1759984282.562891,rate limit test,85.13,True,3
1759984289.0789819,invest stocks,71.01,True,5
1759984289.139276,invest stocks,132.96,True,5
1759984289.157344,invest stocks,149.30,False,5
1759984304.8559968,invest stocks,95.32,True,5
1759984304.888546,invest stocks,128.17,False,5
1759984304.9044778,invest stocks,144.25,False,5
1759984329.029757,invest stocks,107.24,False,5
1759984329.119481,credit score tips,83.32,False,5
1759984329.244103,credit score tips,119.12,True,5
1759984330.406539,retirement planning,146.55,False,5
1759984330.5575528,retirement planning,140.99,False,5
1759984330.640695,retirement planning,74.05,True,5
1759984331.747463,tax filing,90.18,False,5
1759984331.8707762,tax filing,114.46,True,5
1759984331.9633942,tax filing,84.37,True,5
1759984333.1085582,invest stocks,129.32,False,5
1759984333.189208,credit score tips,72.08,False,5
1759984333.2556758,credit score tips,56.61,False,5
1759984334.3705049,retirement planning,97.75,False,5
1759984334.489874,retirement planning,109.73,True,5
1759984334.621779,retirement planning,122.92,False,5
1759984335.781587,tax filing,144.99,True,5
1759984335.939448,tax filing,150.14,True,5
1759984336.007345,tax filing,58.43,False,5
1759984337.130552,credit score tips,109.00,False,5
1759984337.232964,credit score tips,91.99,False,5
1759984337.301981,credit score tips,62.24,True,5
1759984338.456525,retirement planning,140.50,True,5
1759984338.613805,retirement planning,149.05,True,5
1759984338.738564,retirement planning,117.76,False,5
1759984339.832669,tax filing,77.24,False,5
1759984339.982235,tax filing,139.99,True,5
1759984340.0722182,tax filing,82.26,True,5
1759984341.238105,credit score tips,152.59,True,5
1759984341.350214,credit score tips,102.50,False,5
1759984341.444035,credit score tips,86.61,True,5
1759984342.5365498,retirement planning,77.09,False,5
1759984342.623339,retirement planning,76.61,False,5
1759984342.6917849,retirement planning,58.49,False,5
1759984343.759756,tax filing,54.59,False,5
1759984343.9069529,tax filing,138.42,True,5
1759984343.98114,tax filing,65.05,True,5
1759984345.1261618,invest stocks,127.91,False,5
1759984345.272794,credit score tips,136.55,True,5
1759984345.3492181,credit score tips,66.67,True,5
1759984346.426294,retirement planning,61.23,False,5
1759984346.542507,retirement planning,106.45,True,5
1759984346.6468852,retirement planning,96.62,True,5
1759984347.741505,tax filing,83.03,False,5
1759984347.8175418,tax filing,67.03,True,5
1759984347.961004,tax filing,134.08,True,5
